2077,11.878
2892,16.3953
3750,17.1861
4616,19.5835
5394,22.9716
6265,26.3429
7112,29.1152
7881,32.4501
8773,33.47
9695,42.386
10384,42.805
11473,45.4469
12250,50.3607
12883,55.5416
13914,54.7918
14892,58.9341
15729,60.9542
16502,68.0845
17297,67.1064
18147,73.2551
18901,78.1458
19796,86.511
20614,88.8828
21560,89.1856
22330,91.915
23515,97.2268
23984,104.133
24834,107.832
25908,106.847
26436,115.84
27351,114.45
28275,114.623
29168,121.923
30213,127.529
30943,125.347
31582,137.616
32702,133.986
33151,143.475
34093,145.44
35070,145.716
36374,151.75
36854,150.31
37503,159.837
38765,164.51
39418,163.427
40213,171.073
41305,169.91
41782,181.569
42536,173.238
43744,177.362
44653,190.358
45646,191.908
46181,195.214
47276,190.034
47672,197.315
48717,201.784
49822,152.337
51251,146.89
51497,149.565
51710,154.707
53048,151.374
53850,148.942
54902,166.961
56107,164.558
56387,168.418
57287,161.345
57898,169.814
58907,176.977
59768,191.289
60523,177.288
61582,190.373
62132,186.89
63348,192.235
63918,191.639
65043,198.01
65932,204.048
66760,195.405
67647,203.868
68446,202.002
68792,204.703
69874,217.05
70780,200.949
71865,223.941
72501,217.439
73391,209.332
74623,224.153
75117,225.653
76218,243.437
76388,228.398
77631,234.509
78149,243.991
79120,239.234
80120,224.001
81362,248.776
81784,254.88
82727,250.751
83788,249.159
84726,262.662
85325,256.817
86234,266.218
