41959,0.965447
19157,0.937316
37644,0.970559
58868,0.840594
51222,0.8125
45620,1.03726
32908,0.86948
7724,0.894685
8318,0.889552
2187,0.9282
38776,0.917808
80288,0.942403
36924,0.908903
28299,0.818369
70993,0.928858
32162,0.86336
14384,0.833822
22735,1.006
32920,0.909702
16867,0.879257
28332,0.788601
84194,1.00663
9840,0.985432
54616,0.843655
3764,0.834653
75084,0.931352
82561,0.977413
33611,0.904364
10521,0.98913
37277,0.922925
27410,0.810139
9516,0.95542
34499,0.895522
2817,1.04283
40740,0.990602
83939,1.03455
16468,0.934132
5928,1.00203
39330,0.966436
23242,1.04123
63727,0.88278
6140,1.1
35162,0.885163
20421,0.952895
53673,0.824047
34279,0.860947
73478,0.968717
82389,1
31521,0.852754
56153,0.853053
34683,0.896304
66161,0.869131
70532,0.907975
85436,1.01934
33611,0.892925
51130,0.80603
64718,0.84585
35738,0.948052
82636,0.959267
73978,0.941176
59373,0.842593
45696,1.03347
82446,0.967471
25222,0.794175
61223,0.874627
29810,0.836629
47839,1.0547
74058,0.934363
57484,0.804598
9554,0.953582
29404,0.867126
8527,0.894201
28129,0.801236
20426,0.964072
12805,0.783894
28812,0.817013
18525,0.922481
84253,0.993177
63738,0.877349
56944,0.845838
10395,0.949299
61329,0.846304
24455,1.05545
33094,0.926457
63921,0.9
64699,0.898798
29391,0.784708
59991,0.834933
63518,0.87767
22225,1.00395
35571,0.956439
66465,0.90936
30288,0.862069
41431,0.918864
27801,0.820717
36544,0.958661
85851,0.969378
85730,0.954851
27488,0.822597
54059,0.841719
